sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція НИЖНЬОДНІПРОВСЬК-ВУЗОЛ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,БРИКЕТЫ ЖЕЛЕЗНОЙ РУДЫ,1367,96,48.480907,35.116513,47.20838,37.5633199
станція НИЖНЬОДНІПРОВСЬК-ВУЗОЛ,станція САРТАНА,БРИКЕТЫ ЖЕЛЕЗНОЙ РУДЫ,1949,98,48.480907,35.116513,47.1536589,37.5740898
станція НІКОПОЛЬ,станція БАТЬОВО (ЕКСП. МАВ),"РУДА МАРГАНЦЕВАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",397,149,47.5853703,34.3913662,48.3616037,22.3862198
станція НІКОПОЛЬ,станція КРИВИЙ РІГ-ГОЛОВНИЙ,"РУДА МАРГАНЦЕВАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",218,29,47.5853703,34.3913662,47.9123,33.451545
станція НІКОПОЛЬ,станція УЖГОРОД (ЕКСП. ЖСР),"РУДА МАРГАНЦЕВАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",719,152,47.5853703,34.3913662,48.6094982,22.3006874
станція НІКОПОЛЬ,станція ЧОП (ЕКСП. ЧД),"РУДА МАРГАНЦЕВАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",407,169,47.5853703,34.3913662,48.432477,22.2055633
станція П’ЯТИХАТКИ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,285,85,48.4150192,33.7040629,47.20838,37.5633199
станція П’ЯТИХАТКИ,станція САРТАНА,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,299,86,48.4150192,33.7040629,47.1536589,37.5740898
станція ПОЛОГИ,станція АСЛАНОВЕ,КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),276,93,47.476667,36.258611,47.245581,37.581294
станція ПОЛОГИ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,613,95,47.476667,36.258611,47.20838,37.5633199
